split,idx,y,lon,lat,date
train,0,1,-7.8192334,38.12365,2006-08-27
train,1,1,-6.107508,41.688065,2006-08-30
train,2,1,-1.2643329,42.352615,2006-06-13
train,3,1,-3.3989549,37.831646,2006-08-20
train,4,1,-6.9230947,41.204754,2006-08-07
train,5,1,-7.1144056,40.822132,2006-09-08
train,6,1,-3.8319206,38.647236,2006-08-11
train,7,1,-8.24213,41.05372,2006-08-10
train,8,1,0.45746133,42.000202,2006-08-11
train,9,1,-6.2384048,41.5471,2006-09-08
train,10,1,-7.1949573,41.375927,2006-07-11
train,11,1,-6.1377153,41.64779,2006-08-03
train,12,1,-7.1848884,41.45648,2006-07-30
train,13,1,-6.4498534,39.795097,2006-07-12
train,14,1,-7.305716,40.993305,2006-09-01
train,15,1,-3.8923345,39.74475,2006-06-27
train,16,1,-8.302544,41.043648,2006-08-12
train,17,1,-7.205026,38.022957,2006-07-08
train,18,1,-1.3046087,42.473442,2006-07-25
train,19,1,-7.245302,41.23496,2006-08-30
train,20,1,-7.3459916,39.915924,2006-09-07
train,21,1,-7.4366126,41.285305,2006-05-28
train,22,1,-0.17688388,42.1311,2006-06-13
train,23,1,-8.191786,41.043648,2006-08-04
train,24,1,-7.1144056,40.92282,2006-09-03
train,25,1,-5.422818,36.683784,2006-07-08
train,26,1,-5.422818,39.76489,2006-07-11
train,27,1,-6.68144,37.851784,2006-07-10
train,28,1,-7.597716,37.831646,2006-07-16
train,29,1,-7.1144056,40.882545,2006-09-19
train,30,1,-6.0470943,40.087097,2006-08-28
train,31,1,-5.755094,38.053165,2006-07-31
train,32,1,-3.5701275,37.167095,2007-06-10
train,33,1,-5.181163,36.764336,2007-07-27
train,34,1,-4.0030932,40.55027,2007-08-12
train,35,1,-6.0470943,39.462822,2007-08-21
train,36,1,-7.668199,37.9122,2007-08-17
train,37,1,-6.882819,37.730957,2007-07-08
train,38,1,-5.906129,39.38227,2007-08-04
train,39,1,-7.6581297,37.63027,2007-07-04
train,40,1,-6.641164,37.50944,2007-07-28
train,41,1,-5.3221283,38.59689,2007-08-02
train,42,1,-1.1435052,39.0802,2007-07-29
train,43,1,-0.841436,39.75482,2007-07-14
train,44,1,-6.540474,38.29482,2007-08-10
train,45,1,-6.5102673,38.19413,2007-07-10
train,46,1,-5.9967494,41.929718,2007-09-06
train,47,1,-1.0025395,41.82903,2007-09-04
train,48,1,-4.748197,38.043095,2007-07-26
train,49,1,-6.0873704,40.04682,2007-08-23
train,50,1,-6.882819,39.785027,2007-08-23
train,51,1,-8.2219925,41.003372,2007-08-24
train,52,1,-7.1748195,38.28475,2007-07-29
train,53,1,-0.69040143,40.882545,2007-07-31
train,54,1,-7.003647,41.16448,2008-10-04
train,55,1,-7.3459916,39.835373,2008-09-11
train,56,1,-1.9691609,37.076473,2008-06-16
train,57,1,-4.9797835,38.617027,2008-06-30
train,58,1,-5.5537148,39.87565,2008-07-08
train,59,1,-6.953302,41.14434,2008-07-25
train,60,1,-0.9219878,41.91965,2008-08-04
train,61,1,-3.690955,41.466545,2008-08-05
train,62,1,-4.1641965,38.59689,2008-08-09
train,63,1,-5.885991,41.083927,2008-08-17
train,64,1,-7.215095,41.16448,2008-08-18
train,65,1,-6.0974393,41.738407,2008-08-23
train,66,1,-7.255371,41.16448,2008-08-27
train,67,1,-7.245302,41.093994,2008-08-26
train,68,1,-6.0873704,41.768616,2008-08-29
train,69,1,-7.1848884,40.94296,2009-08-30
train,70,1,-7.3459916,41.114132,2009-09-11
train,71,1,-8.081027,41.05372,2009-03-23
train,72,1,-7.0137157,41.003372,2009-07-07
train,73,1,-3.308334,37.741028,2009-07-10
train,74,1,-1.0931603,41.899513,2009-08-17
