model,seed,val_auprc,test_auprc,test_f1,test_precision,test_recall
hist_grad_boost,0,0.8886274730389876,0.8704,0.7868,0.7974,0.7765
hist_grad_boost,1,0.8894977683125206,0.8747,0.7846,0.8023,0.7677
hist_grad_boost,2,0.8882355380759298,0.8696,0.7823,0.7919,0.7728
hist_grad_boost,3,0.8893534828367697,0.865,0.7835,0.7914,0.7757
hist_grad_boost,4,0.8920573390302153,0.8703,0.7856,0.7911,0.7801
random_forest,0,0.8354467945212628,0.807,0.7314,0.7231,0.74
random_forest,1,0.8341540711205355,0.8062,0.7244,0.7156,0.7334
random_forest,2,0.8350787735809637,0.8073,0.7318,0.7253,0.7385
random_forest,3,0.8349600870894794,0.8058,0.7328,0.7236,0.7421
random_forest,4,0.8373497152221017,0.8055,0.7281,0.7237,0.7327
